"","ID","datos.fecha.","tratadata","Sexo","Edad","Idioma","estudios","UPPSPItems.UPPS1.","UPPSPItems.UPPS2.","UPPSPItems.UPPS3.","UPPSPItems.UPPS4.","UPPSPItems.UPPS5.","UPPSPItems.UPPS6.","UPPSPItems.UPPS7.","UPPSPItems.UPPS8.","UPPSPItems.UPPS9.","UPPSPItems.UPPS10.","UPPSPItems.UPPS11.","UPPSPItems.UPPS12.","UPPSPItems.UPPS13.","UPPSPItems.UPPS14.","UPPSPItems.UPPS15.","UPPSPItems.UPPS16.","UPPSPItems.UPPS17.","UPPSPItems.UPPS18.","UPPSPItems.UPPS19.","UPPSPItems.UPPS20.","FCQTItems.FCQT1.","FCQTItems.FCQT2.","FCQTItems.FCQT3.","FCQTItems.FCQT4.","FCQTItems.FCQT5.","FCQTItems.FCQT6.","FCQTItems.FCQT7.","FCQTItems.FCQT8.","FCQTItems.FCQT9.","FCQTItems.FCQT10.","FCQTItems.FCQT11.","FCQTItems.FCQT12.","FCQTItems.FCQT13.","FCQTItems.FCQT14.","FCQTItems.FCQT15.","FCQTItems.FCQT16.","FCQTItems.FCQT17.","FCQTItems.FCQT18.","FCQTItems2.FCQT19.","FCQTItems2.FCQT20.","FCQTItems2.FCQT21.","FCQTItems2.FCQT22.","FCQTItems2.FCQT23.","FCQTItems2.FCQT24.","FCQTItems2.FCQT25.","FCQTItems2.FCQT26.","FCQTItems2.FCQT27.","FCQTItems2.FCQT28.","FCQTItems2.FCQT29.","FCQTItems2.FCQT30.","FCQTItems2.FCQT31.","FCQTItems2.FCQT32.","FCQTItems2.FCQT33.","FCQTItems2.FCQT34.","FCQTItems2.FCQT35.","FCQTItems2.FCQT36.","FCQTItems2.FCQT37.","FCQTItems2.FCQT38.","FCQTItems2.FCQT39.","MulticageItems.MC1.","MulticageItems.MC2.","MulticageItems.MC3.","MulticageItems.MC4."
"1",227222,"14-02-2024",1,2,19,1,4,2,2,2,3,2,2,1,2,2,3,2,3,2,3,4,2,1,3,2,1,3,4,3,3,4,2,3,2,3,4,3,4,3,2,5,4,2,3,5,4,4,3,4,5,3,3,1,1,1,2,3,2,4,4,5,3,5,4,3,"NO","SI","NO","NO"
"2",855570,"14 de febrero de 2024",1,2,18,1,4,1,3,4,2,2,1,1,1,3,2,1,2,1,1,3,1,2,2,1,3,3,2,3,4,1,2,5,2,3,2,3,5,4,5,3,4,3,2,3,5,4,3,4,2,2,3,2,1,2,1,1,1,3,4,3,3,2,3,4,"NO","SI","SI","NO"
"3",662905,"19-02-2024",1,2,20,1,4,3,2,2,2,3,2,1,3,2,4,2,2,3,2,3,3,2,1,2,2,6,5,4,6,3,5,5,3,4,4,5,2,3,4,6,5,4,5,4,5,3,4,3,4,6,5,4,3,4,3,2,3,5,6,4,6,6,4,5,"SI","NO","SI","NO"
"4",914017,"21/02/2024",1,1,20,1,3,2,3,2,4,1,2,3,2,3,3,2,3,2,2,3,2,3,2,2,3,4,3,3,4,2,2,3,2,3,1,3,4,4,3,2,2,3,2,2,3,2,4,3,3,3,3,3,2,1,2,2,1,2,3,3,3,2,2,2,"NO","SI","NO","NO"
"5",772836,"22 de febrero de 2024",1,2,28,1,4,2,3,4,3,1,2,3,2,4,3,2,4,2,3,4,1,3,4,2,2,6,3,4,1,3,1,1,2,1,3,3,6,3,2,4,2,1,2,1,3,1,3,3,3,2,1,1,1,1,2,2,2,1,4,2,2,1,1,1,"NO","NO","NO","NO"
"6",702459,"22 de febrero del 2024",1,2,19,1,4,2,3,3,2,1,2,2,2,3,3,2,2,2,3,3,2,2,3,2,2,4,3,4,2,3,3,3,3,3,2,4,4,4,3,4,3,2,3,3,4,3,3,2,4,3,2,2,2,2,2,2,1,3,2,3,3,3,4,3,"NO","NO","NO","NO"
"7",634794,"27 de febrero de 2024",1,2,18,1,4,2,1,1,3,1,2,2,2,3,3,1,3,1,1,4,1,4,2,1,1,3,2,3,2,2,1,2,2,2,3,4,4,3,2,5,3,2,3,3,3,2,2,3,6,2,2,2,2,1,2,3,2,2,2,3,2,3,3,3,"NO","NO","NO","NO"
"8",285999,"27/02/2024",1,2,19,1,4,2,1,3,2,2,3,2,3,4,2,2,3,2,3,3,3,3,2,2,1,3,2,2,1,3,4,2,3,3,4,4,5,3,1,4,5,2,3,3,3,2,3,2,3,4,1,1,3,1,3,4,2,2,5,3,2,3,4,1,"NO","SI","NO","NO"
"9",711622,"27/02/2024",1,2,18,1,3,1,3,3,4,2,1,3,1,3,4,1,3,1,3,4,1,3,3,1,2,3,2,1,1,1,1,1,1,2,2,3,3,2,1,4,2,1,3,3,1,2,3,2,5,1,1,1,1,1,2,1,2,2,4,1,2,3,1,1,"NO","NO","NO","NO"
"10",214814,"5  de Marzo de 2024",1,2,21,1,3,1,3,3,3,4,1,3,1,4,4,1,4,1,3,3,1,3,4,1,3,3,5,3,4,5,2,5,3,4,2,5,5,3,5,4,4,5,5,3,4,2,5,5,4,3,4,2,3,1,3,4,4,4,4,3,2,3,5,5,"NO","NO","SI","SI"
"11",743610,"5/03/2024",1,1,20,1,4,2,3,3,4,1,1,4,1,3,4,1,4,2,3,4,1,4,4,1,4,2,2,1,1,5,1,1,1,1,2,5,6,2,3,4,1,1,5,3,1,1,2,2,6,1,2,1,1,1,1,1,1,1,4,1,2,1,1,1,"NO","NO","NO","NO"
"12",980413,"05/03/2024",1,1,20,1,4,2,3,1,4,1,1,4,2,2,3,1,4,1,1,4,2,4,1,1,2,3,1,1,1,4,1,1,1,1,5,5,3,2,1,5,4,1,3,3,2,4,2,3,5,1,1,1,1,1,1,1,2,2,3,2,3,2,1,1,"NO","NO","NO","NO"
"13",331553,"5 marzo 2024",1,2,20,1,4,1,2,1,3,1,1,4,2,2,2,1,4,1,1,4,1,4,1,2,1,3,3,3,3,3,6,2,5,3,3,2,4,3,2,3,4,4,6,2,2,5,5,5,4,4,3,5,6,4,3,4,4,2,6,3,3,2,1,3,"NO","SI","NO","SI"
"14",734652,"5 Marzo 2024",1,2,18,1,4,1,3,4,3,1,1,3,1,4,4,1,2,1,4,4,1,2,4,1,2,5,2,1,1,4,2,3,1,4,1,6,6,2,2,3,3,3,1,3,2,1,1,2,5,1,1,1,1,1,1,1,2,3,2,2,1,3,3,3,"NO","NO","NO","NO"
"15",403308,"06/03/24",1,1,20,1,3,1,2,1,2,1,1,3,2,2,3,2,3,1,2,3,1,3,2,3,3,3,2,4,1,4,2,2,3,1,3,5,6,2,2,4,3,1,4,2,1,2,4,6,6,3,1,1,2,1,2,1,2,1,6,4,1,3,1,1,"NO","NO","NO","NO"
"16",905807,"07/03/2024",1,1,21,1,4,2,2,1,3,1,2,3,1,1,3,1,3,2,2,3,1,3,2,2,3,2,2,3,1,2,1,1,1,2,1,3,2,1,1,1,2,1,1,2,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"NO","NO","NO","NO"
"17",570639,"07/03/2024",1,2,19,1,3,2,3,2,2,1,2,3,2,4,3,1,3,2,2,4,1,4,2,1,2,3,2,3,2,2,2,2,1,3,1,3,4,3,3,3,1,2,2,2,3,1,1,2,3,1,2,1,2,1,1,1,2,2,3,2,1,2,2,2,"NO","NO","NO","NO"
"18",271625,"7 de marzo de 2024",1,1,18,1,4,2,2,3,1,2,2,2,3,3,2,2,2,2,2,2,3,3,2,2,2,3,2,2,5,4,3,2,3,2,2,4,4,4,1,5,4,2,2,4,3,2,3,4,4,4,2,2,3,2,3,5,3,3,5,5,2,3,2,2,"NO","NO","NO","NO"
"19",625381,"11-03-2024",1,2,19,1,4,2,2,2,2,1,3,2,1,3,3,1,3,2,2,3,2,3,3,1,2,3,2,3,3,3,2,3,2,3,4,3,3,4,2,4,3,3,3,3,4,2,4,3,3,2,3,1,2,2,3,2,3,4,5,4,4,2,1,4,"NO","NO","SI","NO"
"20",131822,"12 marzo 2024",1,2,20,1,4,1,4,4,4,1,1,4,2,4,4,2,4,1,2,4,1,4,4,1,3,3,2,1,2,1,2,1,2,3,1,3,4,2,1,6,3,1,2,2,2,1,6,1,4,1,1,2,3,1,2,2,2,1,2,1,2,3,1,2,"NO","NO","NO","NO"
"21",846823,"12/03/2024",1,2,22,1,4,1,4,4,4,1,1,3,1,4,3,1,4,1,2,4,1,4,4,1,2,2,3,1,2,1,1,1,1,1,2,2,3,2,1,3,3,2,2,1,1,2,2,2,4,2,1,1,2,1,1,1,2,3,1,2,1,1,1,1,"NO","NO","NO","NO"
"22",503555,"14 de Marzo de 2024",1,2,20,1,4,1,1,3,2,1,2,2,1,2,2,1,3,2,1,3,1,2,2,2,1,3,2,2,2,2,2,2,2,3,3,5,4,3,3,5,5,2,3,4,3,3,3,3,3,2,2,2,2,1,2,2,2,4,3,5,2,4,3,3,"SI","NO","NO","NO"
"23",137674,"14 de marzo de 2024",1,2,21,1,4,1,3,2,2,2,2,2,3,4,4,2,4,2,3,3,2,3,3,1,2,3,1,3,1,4,1,2,1,2,1,4,4,3,1,4,3,1,1,2,3,1,4,4,3,6,1,1,1,1,2,1,1,2,2,1,2,1,4,2,"NO","NO","NO","NO"
"24",132271,"15-03-2024",1,2,21,1,4,1,1,2,2,1,1,2,2,3,2,1,2,3,2,2,2,2,3,2,2,4,3,3,5,4,2,3,2,3,2,4,3,4,3,4,3,4,5,4,5,3,3,3,2,5,4,4,3,2,2,1,2,1,1,1,1,3,4,4,"NO","NO","NO","NO"
"25",141620,"15/03/24",1,2,21,1,4,2,2,2,2,1,2,1,2,2,3,2,3,3,2,3,2,2,2,1,1,4,2,2,3,5,1,3,2,3,4,4,6,3,3,4,4,2,3,2,1,4,3,3,5,1,2,1,2,1,1,3,2,1,2,3,2,3,2,1,"NO","SI","NO","NO"
"26",532714,"15/03/2024",1,2,20,1,4,1,3,2,3,1,1,3,1,3,4,1,4,1,2,4,2,4,2,2,2,4,3,3,2,5,3,3,1,3,3,5,6,3,1,6,4,2,4,4,4,4,3,4,5,3,2,1,3,1,2,3,2,2,4,2,4,4,4,4,"NO","SI","NO","NO"
"27",815406,"18/03/2024",1,2,24,1,4,2,3,3,1,1,1,1,1,4,3,1,4,2,2,3,1,3,2,2,1,4,2,1,3,2,1,2,1,3,4,5,4,4,2,6,6,1,2,3,5,2,3,3,5,1,2,2,1,1,3,4,1,4,3,2,3,3,4,2,"NO","SI","NO","NO"
"28",442410,"18/3/24",1,1,23,1,4,1,2,1,4,1,2,3,2,3,2,2,4,1,1,4,2,2,1,1,1,4,2,4,6,5,4,2,6,3,6,5,6,6,3,6,4,1,4,5,4,3,3,6,4,3,2,1,5,1,1,4,2,2,6,4,3,4,1,3,"NO","NO","NO","SI"
"29",611156,"19 de marzo de 2024",1,2,20,1,4,2,2,2,3,2,2,3,1,3,2,1,3,2,2,3,2,3,2,2,2,3,2,2,2,3,2,2,3,3,3,4,3,3,2,4,3,2,3,2,3,3,2,3,3,2,2,3,3,2,1,2,1,3,4,2,3,3,3,3,"NO","NO","NO","NO"
"30",959536,"19/03/2024",1,2,19,1,4,2,1,1,2,1,1,2,3,2,1,3,2,1,1,3,3,3,1,1,3,3,4,5,6,2,2,5,2,3,2,3,4,4,3,3,2,3,2,3,4,3,5,5,2,4,3,2,1,3,1,2,2,3,5,5,2,3,4,3,"NO","SI","SI","SI"
